Freq,Pol,SR,Pos,Dir,Inv,FEC,Sys,Mod,RO,Pilot
3608,2,5130,40.1,E,2,9,1,2,0,2
3615,2,5120,40.1,E,2,9,1,2,0,2
3622,2,5130,40.1,E,2,9,1,2,0,2
3628,2,5120,40.1,E,2,9,1,2,0,2
3635,2,5130,40.1,E,2,9,1,2,0,2
3643,2,5120,40.1,E,2,9,1,2,0,2
3665,2,15284,40.1,E,2,9,1,2,0,2
3685,2,15284,40.1,E,2,9,1,2,0,2
3709,2,5120,40.1,E,2,9,1,2,0,2
3715,2,5130,40.1,E,2,9,1,2,0,2
3722,2,5120,40.1,E,2,9,1,2,0,2
3728,2,5130,40.1,E,2,9,1,2,0,2
3735,2,5120,40.1,E,2,9,1,2,0,2
3758,2,5120,40.1,E,2,9,1,2,0,2
3765,2,5130,40.1,E,2,9,1,2,0,2
3772,2,5120,40.1,E,2,9,1,2,0,2
3778,2,5130,40.1,E,2,9,1,2,0,2
3785,2,5120,40.1,E,2,9,1,2,0,2
3792,2,5130,40.1,E,2,9,1,2,0,2
3808,2,5130,40.1,E,2,9,1,2,0,2
3815,2,5120,40.1,E,2,9,1,2,0,2
3822,2,5130,40.1,E,2,9,1,2,0,2
3828,2,5120,40.1,E,2,9,1,2,0,2
3835,2,5130,40.1,E,2,9,1,2,0,2
3842,2,5120,40.1,E,2,9,1,2,0,2
3858,2,5120,40.1,E,2,9,1,2,0,2
3865,2,5130,40.1,E,2,9,1,2,0,2
3872,2,5120,40.1,E,2,9,1,2,0,2
3878,2,5130,40.1,E,2,9,1,2,0,2
3885,2,5120,40.1,E,2,9,1,2,0,2
3892,2,5130,40.1,E,2,9,1,2,0,2
3908,2,5140,40.1,E,2,9,1,2,0,2
3915,2,5130,40.1,E,2,9,1,2,0,2
3922,2,5120,40.1,E,2,9,1,2,0,2
3928,2,5120,40.1,E,2,9,1,2,0,2
3942,2,5130,40.1,E,2,9,1,2,0,2
3965,2,5120,40.1,E,2,9,1,2,0,2
3972,2,5130,40.1,E,2,9,1,2,0,2
3978,2,5120,40.1,E,2,9,1,2,0,2
3985,2,5120,40.1,E,2,9,1,2,0,2
3992,2,5120,40.1,E,2,9,1,2,0,2
